monthly_income,requested_amount,term_in_months,loan_status,age,monthly_debt,Approval_Probability,AI_Score,Risk_Level
6666.666666666666,27200,6,1,63,2399.9999999999995,0.98,839,LOW
3000.0,7700,16,1,42,630.0,0.99,844,LOW
1250.0,5100,6,1,59,412.5,0.95,822,LOW
6500.0,18100,2,1,54,1625.0,0.99,844,LOW
7583.333333333334,24900,16,0,52,3412.5,0.0,300,HIGH
1166.6666666666667,3400,6,1,40,245.0,0.97,833,LOW
666.6666666666667,2300,12,0,26,380.0,0.0,300,HIGH
5416.666666666666,13400,18,1,56,866.6666666666665,1.0,850,LOW
6666.666666666666,27800,16,0,47,3999.9999999999995,0.01,305,HIGH
3500.0,14600,6,1,55,805.0,0.99,844,LOW
4083.333333333333,19100,14,1,28,1061.6666666666667,0.99,844,LOW
4583.333333333333,20500,12,1,45,549.9999999999999,0.99,844,LOW
7916.666666666666,19100,16,1,23,1899.9999999999998,0.96,828,LOW
6083.333333333334,25400,16,0,61,2676.666666666667,0.09,349,HIGH
7250.0,24700,10,0,65,3842.5,0.03,316,HIGH
3166.666666666667,7600,4,1,35,1203.3333333333335,0.76,718,MEDIUM
7000.0,23000,12,1,51,700.0,1.0,850,LOW
4250.0,19700,20,1,23,1572.5,0.87,778,LOW
5583.333333333334,24500,12,1,49,1563.3333333333337,1.0,850,LOW
3583.333333333333,10600,18,1,63,1254.1666666666665,0.81,745,MEDIUM
7750.0,30500,18,0,47,3565.0,0.04,322,HIGH
6166.666666666666,18400,20,0,27,2651.666666666666,0.08,344,HIGH
4583.333333333333,18200,16,0,37,1924.9999999999998,0.01,305,HIGH
7083.333333333334,18900,18,0,46,4179.166666666667,0.0,300,HIGH
8000.0,30500,18,1,35,1120.0000000000002,1.0,850,LOW
7333.333333333334,28900,6,0,26,3520.0,0.01,305,HIGH
2750.0,7500,20,0,51,1595.0,0.03,316,HIGH
3250.0,12300,18,1,59,942.5,1.0,850,LOW
3416.666666666667,10300,12,1,46,1264.1666666666667,0.9,795,LOW
6916.666666666666,29100,10,0,50,3389.166666666666,0.0,300,HIGH
2250.0,10100,20,1,33,225.0,0.96,828,LOW
4666.666666666667,12400,4,0,42,2660.0,0.01,305,HIGH
1583.3333333333335,5000,12,1,64,506.66666666666674,0.86,773,LOW
416.66666666666663,1500,20,0,54,175.0,0.63,646,HIGH
4416.666666666667,18600,4,1,46,1148.3333333333335,1.0,850,LOW
5833.333333333334,18300,4,1,26,583.3333333333335,1.0,850,LOW
4833.333333333333,16700,16,1,35,1546.6666666666665,0.95,822,LOW
2166.6666666666665,8400,6,0,22,866.6666666666667,0.14,377,HIGH
1583.3333333333335,6500,18,1,21,285.0,0.97,833,LOW
4750.0,14800,16,1,62,617.5,0.99,844,LOW
7500.0,33500,8,0,41,3900.0,0.0,300,HIGH
7083.333333333334,29400,12,0,43,3045.833333333334,0.1,355,HIGH
583.3333333333334,1400,14,1,38,227.5,0.75,712,MEDIUM
2916.666666666667,8900,4,0,21,1633.3333333333337,0.03,316,HIGH
7333.333333333334,31200,4,1,30,1173.3333333333335,1.0,850,LOW
8250.0,21200,16,1,50,1485.0,0.99,844,LOW
3000.0,8600,20,1,35,690.0,1.0,850,LOW
2500.0,8200,16,1,23,500.0,0.94,817,LOW
5666.666666666666,21200,16,0,43,3343.333333333333,0.0,300,HIGH
916.6666666666667,3800,18,1,54,155.83333333333337,1.0,850,LOW
7250.0,28300,8,0,55,3842.5,0.0,300,HIGH
1666.6666666666665,8000,6,1,62,166.66666666666669,1.0,850,LOW
8166.666666666666,37600,10,1,64,1470.0,1.0,850,LOW
4750.0,21100,18,0,45,2422.5,0.04,322,HIGH
7333.333333333334,20700,18,0,48,3226.666666666667,0.01,305,HIGH
3166.666666666667,8900,4,0,54,1488.3333333333335,0.0,300,HIGH
1416.6666666666665,6400,10,0,24,566.6666666666666,0.78,729,MEDIUM
833.3333333333333,2000,10,1,36,283.3333333333333,0.7,685,MEDIUM
250.0,1100,2,0,64,137.50000000000003,0.21,415,HIGH
5500.0,15000,18,1,26,1210.0,0.98,839,LOW
7250.0,25000,20,1,44,2030.0000000000002,1.0,850,LOW
7833.333333333334,29400,12,0,38,4621.666666666667,0.01,305,HIGH
3666.666666666667,10800,14,1,24,1173.3333333333335,0.93,811,LOW
333.33333333333337,900,12,1,63,40.0,0.98,839,LOW
250.0,1100,2,1,44,47.5,0.85,767,LOW
3583.333333333333,12900,20,0,42,1791.6666666666665,0.0,300,HIGH
1333.3333333333335,4500,12,0,65,706.6666666666667,0.08,344,HIGH
5166.666666666667,23600,10,1,63,1033.3333333333335,1.0,850,LOW
3500.0,9700,16,0,32,1994.9999999999998,0.0,300,HIGH
7500.0,18100,12,0,21,3075.0,0.03,316,HIGH
2250.0,10600,6,1,49,765.0,0.96,828,LOW
8083.333333333334,35900,2,0,47,3880.0,0.0,300,HIGH
2750.0,6800,14,1,52,1017.5,0.71,690,MEDIUM
250.0,1100,8,0,48,125.0,0.18,399,HIGH
6166.666666666666,18200,14,1,56,986.6666666666665,1.0,850,LOW
5916.666666666666,19700,8,1,39,1301.6666666666665,1.0,850,LOW
6083.333333333334,22100,18,1,28,790.8333333333335,1.0,850,LOW
7000.0,23400,14,1,34,2660.0,0.93,811,LOW
2750.0,10800,12,0,62,1457.5,0.02,311,HIGH
4833.333333333333,23200,18,1,45,628.3333333333334,0.99,844,LOW
500.0,1600,6,1,51,144.99999999999997,0.93,811,LOW
6000.0,15800,12,0,38,2520.0,0.11,360,HIGH
7583.333333333334,32900,2,1,54,2654.166666666667,0.99,844,LOW
750.0,2300,16,0,31,397.5,0.09,349,HIGH
666.6666666666667,3200,8,1,61,206.66666666666669,0.97,833,LOW
7083.333333333334,32900,10,1,65,1841.666666666667,0.99,844,LOW
7500.0,18700,18,0,50,3600.0,0.0,300,HIGH
5833.333333333334,19500,14,0,65,2625.0,0.11,360,HIGH
166.66666666666669,600,16,0,46,83.33333333333334,0.02,311,HIGH
333.33333333333337,800,10,1,63,116.66666666666666,0.93,811,LOW
4250.0,18200,10,0,45,2550.0,0.0,300,HIGH
583.3333333333334,2600,12,0,26,274.1666666666667,0.14,377,HIGH
333.33333333333337,1200,12,0,21,133.33333333333337,0.26,443,HIGH
7916.666666666666,20800,14,1,30,2058.3333333333335,0.99,844,LOW
7333.333333333334,22600,10,0,31,3520.0,0.0,300,HIGH
1500.0,3600,18,1,48,525.0,0.8,740,MEDIUM
5666.666666666666,13900,8,1,53,1246.6666666666665,0.98,839,LOW
1250.0,5500,16,0,25,650.0,0.11,360,HIGH
1333.3333333333335,5500,12,1,28,173.33333333333337,0.99,844,LOW
3833.333333333333,16700,2,1,65,919.9999999999999,0.99,844,LOW
1833.3333333333335,6700,6,0,46,1063.3333333333333,0.01,305,HIGH
2416.6666666666665,8500,12,0,25,1039.1666666666665,0.09,349,HIGH
166.66666666666669,700,8,1,37,55.00000000000001,0.82,751,LOW
2083.3333333333335,9400,10,1,28,229.16666666666669,0.99,844,LOW
3000.0,7500,6,0,57,1740.0,0.01,305,HIGH
4583.333333333333,16700,18,0,63,2750.0,0.0,300,HIGH
5500.0,17400,20,1,35,1705.0,1.0,850,LOW
7166.666666666666,32100,6,0,64,2866.666666666667,0.47,558,HIGH
500.0,1500,14,0,60,200.0,0.16,388,HIGH
1166.6666666666667,3200,20,0,27,653.3333333333335,0.0,300,HIGH
3333.333333333333,11100,12,0,37,1800.0,0.01,305,HIGH
4083.333333333333,11900,16,0,28,2123.3333333333335,0.02,311,HIGH
1666.6666666666665,6200,18,1,47,433.33333333333337,0.97,833,LOW
4333.333333333333,19300,8,1,53,780.0,0.99,844,LOW
7416.666666666666,28800,6,0,22,4079.166666666667,0.02,311,HIGH
5416.666666666666,20600,2,0,31,2166.6666666666665,0.11,360,HIGH
1083.3333333333333,4500,6,1,34,249.16666666666669,0.99,844,LOW
7833.333333333334,35000,16,1,62,2350.0,1.0,850,LOW
4166.666666666667,11200,8,1,31,458.33333333333337,0.99,844,LOW
2500.0,7700,12,1,58,425.0,1.0,850,LOW
8250.0,33300,6,1,23,1402.5,0.99,844,LOW
583.3333333333334,1300,20,1,46,105.0,0.96,828,LOW
3333.333333333333,10600,10,0,27,1599.9999999999998,0.03,316,HIGH
2583.3333333333335,9600,2,1,50,671.6666666666667,0.95,822,LOW
3750.0,15100,6,1,21,600.0,0.96,828,LOW
8083.333333333334,20600,16,1,42,889.1666666666667,0.99,844,LOW
1666.6666666666665,5300,10,0,48,733.3333333333333,0.04,322,HIGH
6750.0,22300,18,1,26,2565.0,0.86,773,LOW
4750.0,15900,16,1,57,950.0,1.0,850,LOW
4833.333333333333,12800,2,1,35,1450.0,0.95,822,LOW
1500.0,6500,6,0,43,780.0,0.01,305,HIGH
7583.333333333334,35200,6,0,58,3640.0,0.0,300,HIGH
4000.0,17500,2,1,35,880.0,1.0,850,LOW
3166.666666666667,10500,12,1,33,791.6666666666667,1.0,850,LOW
1583.3333333333335,4100,18,1,34,190.0,0.99,844,LOW
3000.0,9500,16,0,48,1620.0,0.0,300,HIGH
6166.666666666666,28200,8,1,54,1788.333333333333,1.0,850,LOW
5500.0,14300,8,1,42,1155.0,0.98,839,LOW
1500.0,5300,6,1,53,390.0,0.97,833,LOW
7666.666666666666,27200,12,1,24,996.6666666666667,1.0,850,LOW
2000.0,8600,8,1,30,660.0,0.93,811,LOW
4666.666666666667,13300,20,0,54,2193.3333333333335,0.06,333,HIGH
3166.666666666667,13900,12,1,47,1203.3333333333335,0.89,789,LOW
3750.0,17900,6,0,43,1500.0,0.22,421,HIGH
750.0,2200,16,0,51,450.0,0.01,305,HIGH
2333.3333333333335,9900,8,1,56,256.6666666666667,1.0,850,LOW
6250.0,23100,4,0,44,3625.0,0.0,300,HIGH
1166.6666666666667,3100,14,0,23,501.66666666666674,0.14,377,HIGH
3166.666666666667,10900,10,1,58,1140.0,0.96,828,LOW
1416.6666666666665,5000,10,0,25,637.5,0.21,415,HIGH
7500.0,30400,6,1,64,2775.0,0.98,839,LOW
6083.333333333334,23300,6,1,35,2007.5000000000002,0.98,839,LOW
6166.666666666666,19800,18,1,27,616.6666666666666,1.0,850,LOW
7500.0,28200,16,0,59,4500.0,0.0,300,HIGH
2500.0,6500,2,0,41,1375.0,0.01,305,HIGH
666.6666666666667,2900,8,0,59,386.66666666666663,0.12,366,HIGH
4000.0,13200,2,1,26,1560.0,0.87,778,LOW
5333.333333333334,18300,8,1,59,1120.0,1.0,850,LOW
7666.666666666666,27100,12,0,54,4140.0,0.0,300,HIGH
333.33333333333337,1500,2,1,64,73.33333333333334,0.58,619,HIGH
2333.3333333333335,6000,18,0,54,1400.0,0.02,311,HIGH
7083.333333333334,28900,20,1,33,2479.1666666666665,0.97,833,LOW
3916.666666666667,16400,10,1,23,1292.5000000000002,0.95,822,LOW
8166.666666666666,21200,20,0,37,3919.9999999999995,0.01,305,HIGH
3166.666666666667,8900,16,1,28,1108.3333333333333,0.89,789,LOW
416.66666666666663,1500,2,0,48,204.16666666666663,0.0,300,HIGH
5750.0,15600,6,1,27,2242.5,0.8,740,MEDIUM
8000.0,30100,12,1,53,1440.0,1.0,850,LOW
2416.6666666666665,6500,18,1,31,289.99999999999994,0.98,839,LOW
8166.666666666666,20900,12,0,49,3756.666666666667,0.0,300,HIGH
5916.666666666666,15400,18,1,39,1834.1666666666665,1.0,850,LOW
6416.666666666666,19100,10,0,32,3593.333333333334,0.0,300,HIGH
1166.6666666666667,3300,2,1,35,455.0,0.78,729,MEDIUM
6500.0,15900,2,1,63,1950.0,0.96,828,LOW
1416.6666666666665,6000,18,0,30,793.3333333333333,0.05,327,HIGH
7083.333333333334,32700,18,1,52,2337.5000000000005,1.0,850,LOW
1583.3333333333335,7500,20,1,58,506.66666666666674,1.0,850,LOW
5583.333333333334,15200,10,0,40,3182.5,0.03,316,HIGH
5750.0,16400,4,0,29,2587.5,0.02,311,HIGH
2166.6666666666665,7800,4,0,29,1018.3333333333333,0.01,305,HIGH
8000.0,21100,6,1,24,1520.0,0.97,833,LOW
5666.666666666666,17000,2,0,53,3229.9999999999995,0.0,300,HIGH
2666.666666666667,11300,6,1,56,746.6666666666669,1.0,850,LOW
2416.6666666666665,10400,6,1,41,773.3333333333333,0.95,822,LOW
6583.333333333334,21200,18,0,25,3884.166666666667,0.0,300,HIGH
3250.0,12400,12,0,30,1917.5,0.01,305,HIGH
3833.333333333333,11000,2,1,62,1111.6666666666665,0.93,811,LOW
583.3333333333334,1700,8,1,31,105.0,0.99,844,LOW
4333.333333333333,15600,20,1,29,953.3333333333333,1.0,850,LOW
4916.666666666667,20600,10,1,41,1278.3333333333335,0.99,844,LOW
6000.0,19100,4,0,32,2700.0,0.04,322,HIGH
7250.0,27000,10,1,49,2610.0,0.93,811,LOW
916.6666666666667,3500,12,0,47,531.6666666666666,0.03,316,HIGH
3333.333333333333,10900,14,0,61,1333.3333333333335,0.19,404,HIGH
8166.666666666666,32400,2,0,25,3675.0,0.04,322,HIGH
2250.0,6800,20,1,22,540.0,0.97,833,LOW
7333.333333333334,34600,8,0,38,3373.333333333334,0.02,311,HIGH
2750.0,7800,16,1,24,357.5,1.0,850,LOW
5750.0,23400,4,1,62,2127.5,0.95,822,LOW
750.0,3500,4,1,51,195.0,0.97,833,LOW
3416.666666666667,15500,6,1,46,1059.1666666666667,0.98,839,LOW
3916.666666666667,17500,8,0,29,2310.8333333333335,0.02,311,HIGH
2833.333333333333,11600,16,0,43,1275.0,0.08,344,HIGH
8000.0,22500,18,0,52,3920.0,0.03,316,HIGH
5833.333333333334,16200,6,1,57,1341.666666666667,1.0,850,LOW
4750.0,12900,18,1,46,1567.5,0.99,844,LOW
6833.333333333334,32400,18,0,38,3280.0,0.03,316,HIGH
1750.0,5100,12,1,52,612.4999999999999,0.95,822,LOW
6666.666666666666,28100,18,0,23,2733.333333333333,0.03,316,HIGH
6666.666666666666,29300,4,0,51,2933.333333333333,0.05,327,HIGH
7833.333333333334,27000,10,1,33,2115.0000000000005,1.0,850,LOW
7000.0,20600,10,1,28,2520.0,0.93,811,LOW
1583.3333333333335,5000,6,1,37,237.5,1.0,850,LOW
3500.0,16400,20,0,56,1715.0,0.01,305,HIGH
2166.6666666666665,9100,8,0,46,866.6666666666667,0.26,443,HIGH
3083.333333333333,8500,20,0,23,1819.1666666666665,0.02,311,HIGH
7333.333333333334,30900,12,1,44,2273.3333333333335,1.0,850,LOW
1750.0,4700,2,1,47,175.0,0.93,811,LOW
750.0,2400,10,1,45,187.5,0.99,844,LOW
8166.666666666666,35400,6,1,64,3021.666666666666,0.86,773,LOW
6666.666666666666,20000,2,0,31,3266.666666666666,0.01,305,HIGH
8166.666666666666,38800,8,0,25,4083.333333333333,0.05,327,HIGH
250.0,1100,8,1,21,67.5,0.94,817,LOW
2250.0,8100,4,0,27,1170.0,0.0,300,HIGH
6166.666666666666,19600,2,1,58,616.6666666666666,1.0,850,LOW
7666.666666666666,34300,18,0,42,4446.666666666666,0.01,305,HIGH
7916.666666666666,22200,20,1,62,3087.5,0.2,410,HIGH
3166.666666666667,14400,2,1,22,1235.0000000000002,0.85,767,LOW
6916.666666666666,19400,18,1,56,2351.6666666666665,0.99,844,LOW
2333.3333333333335,7400,18,1,63,350.0,0.97,833,LOW
7166.666666666666,20900,10,1,51,1648.3333333333335,1.0,850,LOW
4500.0,16800,10,1,23,1665.0,0.88,784,LOW
3500.0,9400,6,0,34,1715.0,0.01,305,HIGH
4333.333333333333,12200,20,1,37,1516.6666666666665,0.85,767,LOW
7833.333333333334,27900,4,0,62,4308.333333333334,0.0,300,HIGH
7333.333333333334,20400,8,1,56,1320.0,1.0,850,LOW
4916.666666666667,16700,16,1,42,1475.0,1.0,850,LOW
1416.6666666666665,4900,16,0,34,580.8333333333333,0.66,663,MEDIUM
5833.333333333334,23000,10,1,25,933.3333333333335,1.0,850,LOW
1416.6666666666665,4000,6,1,42,354.16666666666663,0.99,844,LOW
1250.0,4900,12,0,43,550.0,0.12,366,HIGH
1666.6666666666665,4700,18,0,33,983.3333333333333,0.01,305,HIGH
3250.0,15500,12,0,62,1820.0000000000002,0.03,316,HIGH
750.0,3600,14,1,60,270.0,0.93,811,LOW
5750.0,22500,18,0,41,2300.0,0.24,432,HIGH
2333.3333333333335,7800,10,0,23,1330.0,0.03,316,HIGH
5666.666666666666,19900,10,1,30,1246.6666666666665,1.0,850,LOW
500.0,1800,8,0,40,210.0,0.09,349,HIGH
3916.666666666667,14000,6,0,39,2115.0000000000005,0.01,305,HIGH
2500.0,11800,10,1,57,800.0,0.95,822,LOW
3333.333333333333,13900,6,1,34,1199.9999999999998,0.87,778,LOW
2583.3333333333335,11300,14,1,63,749.1666666666667,1.0,850,LOW
6416.666666666666,25500,12,1,64,2181.6666666666665,0.98,839,LOW
3583.333333333333,9300,10,1,45,1361.6666666666665,0.53,591,HIGH
4833.333333333333,19500,20,0,38,2465.0,0.03,316,HIGH
3000.0,10700,16,0,60,1229.9999999999998,0.23,426,HIGH
2416.6666666666665,7600,8,1,33,555.8333333333334,0.98,839,LOW
7333.333333333334,20200,4,1,41,2493.333333333334,0.94,817,LOW
250.0,1000,10,1,35,42.5,1.0,850,LOW
7166.666666666666,28900,8,0,44,3511.666666666666,0.01,305,HIGH
2916.666666666667,12000,14,0,37,1750.0,0.01,305,HIGH
666.6666666666667,2600,6,1,30,186.6666666666667,0.98,839,LOW
6666.666666666666,27100,12,0,54,3000.0,0.02,311,HIGH
8250.0,38200,6,0,63,3300.0,0.06,333,HIGH
2750.0,6600,6,1,44,412.5,1.0,850,LOW
1666.6666666666665,6700,12,1,40,383.33333333333337,1.0,850,LOW
4083.333333333333,12900,18,0,56,1715.0,0.06,333,HIGH
7666.666666666666,23600,12,1,51,1303.3333333333335,1.0,850,LOW
6250.0,18200,6,0,57,2750.0,0.01,305,HIGH
7500.0,29300,4,1,65,2475.0,0.93,811,LOW
1166.6666666666667,4100,8,1,40,221.66666666666669,0.98,839,LOW
8000.0,19900,14,1,29,2880.0,0.67,668,MEDIUM
7000.0,33200,14,0,51,3570.0,0.04,322,HIGH
5333.333333333334,24400,4,0,29,2933.333333333334,0.01,305,HIGH
4916.666666666667,16800,8,1,42,688.3333333333335,1.0,850,LOW
1833.3333333333335,5100,20,1,48,531.6666666666666,1.0,850,LOW
4666.666666666667,14100,14,0,28,2146.666666666667,0.0,300,HIGH
8166.666666666666,28700,6,1,22,2531.6666666666665,0.92,806,LOW
3666.666666666667,14600,4,1,30,1173.3333333333335,0.91,800,LOW
2000.0,4900,4,0,50,1200.0,0.01,305,HIGH
3666.666666666667,10800,12,0,21,1870.0,0.02,311,HIGH
3083.333333333333,13200,4,0,25,1603.3333333333335,0.1,355,HIGH
1916.6666666666665,7800,8,0,39,900.8333333333333,0.0,300,HIGH
4916.666666666667,19600,8,0,54,2802.5,0.0,300,HIGH
5333.333333333334,23500,2,1,58,746.6666666666669,0.99,844,LOW
4083.333333333333,17100,6,1,40,1224.9999999999998,1.0,850,LOW
7916.666666666666,24200,8,1,27,3008.333333333333,0.88,784,LOW
4750.0,16400,12,1,34,570.0,1.0,850,LOW
2250.0,5700,8,1,54,472.5,1.0,850,LOW
3250.0,11300,12,1,60,357.5,1.0,850,LOW
6500.0,28800,12,1,56,2405.0,1.0,850,LOW
916.6666666666667,3200,20,0,47,375.83333333333337,0.12,366,HIGH
166.66666666666669,600,10,1,63,16.66666666666667,0.91,800,LOW
3916.666666666667,10600,20,1,23,509.16666666666674,0.96,828,LOW
6833.333333333334,20600,10,0,26,2870.0,0.03,316,HIGH
3833.333333333333,18400,2,1,64,1303.3333333333335,0.98,839,LOW
1500.0,7000,18,1,56,225.0,1.0,850,LOW
2666.666666666667,8600,2,0,42,1440.0000000000002,0.01,305,HIGH
4583.333333333333,20000,14,1,41,1695.833333333333,0.99,844,LOW
6583.333333333334,18300,10,0,25,3620.833333333334,0.01,305,HIGH
3333.333333333333,10100,16,1,48,966.6666666666665,1.0,850,LOW
5666.666666666666,16900,18,1,44,2153.333333333333,0.93,811,LOW
2250.0,9400,18,0,64,900.0,0.15,382,HIGH
5666.666666666666,23500,12,0,29,2606.6666666666665,0.03,316,HIGH
7166.666666666666,21000,8,1,55,1719.9999999999998,1.0,850,LOW
6666.666666666666,30100,4,1,48,2266.6666666666665,1.0,850,LOW
3083.333333333333,12600,10,1,56,1048.3333333333333,1.0,850,LOW
2166.6666666666665,5100,14,1,60,736.6666666666667,0.87,778,LOW
3500.0,16800,6,1,57,805.0,0.97,833,LOW
6666.666666666666,28000,10,0,36,3933.333333333333,0.02,311,HIGH
5916.666666666666,23500,12,1,41,946.6666666666665,1.0,850,LOW
1666.6666666666665,7000,6,1,57,516.6666666666666,0.99,844,LOW
4833.333333333333,13300,14,1,43,1111.6666666666667,1.0,850,LOW
5583.333333333334,15800,4,1,44,2177.5000000000005,0.92,806,LOW
6083.333333333334,28700,14,1,26,1460.0,0.97,833,LOW
2750.0,9700,14,1,61,357.5,0.99,844,LOW
2500.0,7000,10,1,64,725.0,0.95,822,LOW
6583.333333333334,17200,14,0,21,2699.166666666667,0.28,454,HIGH
6333.333333333334,24100,18,1,32,2406.666666666667,0.97,833,LOW
3083.333333333333,9800,4,1,58,1202.5,0.92,806,LOW
7000.0,26300,4,0,24,4060.0,0.01,305,HIGH
6833.333333333334,20800,14,0,27,4031.666666666667,0.0,300,HIGH
2416.6666666666665,9500,18,1,57,773.3333333333333,0.99,844,LOW
8250.0,38400,12,1,22,2805.0,0.96,828,LOW
3666.666666666667,14100,2,1,29,586.6666666666667,0.99,844,LOW
7500.0,32200,16,0,26,3600.0,0.0,300,HIGH
5666.666666666666,26900,16,0,29,2436.6666666666665,0.18,399,HIGH
7250.0,28000,12,1,55,2175.0,1.0,850,LOW
7833.333333333334,21900,16,0,42,3133.333333333334,0.01,305,HIGH
5000.0,12500,18,1,33,1300.0,0.93,811,LOW
7833.333333333334,29800,10,1,30,2271.6666666666665,1.0,850,LOW
833.3333333333333,4000,10,0,43,483.33333333333326,0.1,355,HIGH
750.0,2300,20,1,37,277.5,0.91,800,LOW
1750.0,7700,4,0,25,1050.0,0.0,300,HIGH
916.6666666666667,3200,20,1,30,146.66666666666669,0.93,811,LOW
500.0,2300,4,0,43,300.0,0.02,311,HIGH
7666.666666666666,25500,10,0,33,4369.999999999999,0.01,305,HIGH
3000.0,12800,18,1,31,420.00000000000006,1.0,850,LOW
1083.3333333333333,5000,10,1,21,292.5,0.92,806,LOW
6416.666666666666,16800,20,1,61,2374.1666666666665,0.99,844,LOW
7916.666666666666,23500,14,1,61,1187.4999999999998,1.0,850,LOW
4166.666666666667,17600,20,0,63,2083.3333333333335,0.01,305,HIGH
416.66666666666663,1800,2,0,33,241.66666666666663,0.0,300,HIGH
6916.666666666666,32100,16,0,59,2974.166666666666,0.14,377,HIGH
4416.666666666667,17900,6,0,62,2075.8333333333335,0.0,300,HIGH
7750.0,29000,12,1,60,1162.5,1.0,850,LOW
1916.6666666666665,7400,2,0,30,958.3333333333333,0.03,316,HIGH
333.33333333333337,1300,6,1,64,50.0,0.96,828,LOW
2666.666666666667,10800,4,0,58,1573.3333333333335,0.03,316,HIGH
7833.333333333334,35300,16,1,57,1018.3333333333335,1.0,850,LOW
1916.6666666666665,6600,2,0,40,1035.0,0.02,311,HIGH
3583.333333333333,14500,12,0,42,1540.833333333333,0.02,311,HIGH
5166.666666666667,22400,18,1,53,1808.3333333333335,0.99,844,LOW
6000.0,19800,12,0,35,3600.0,0.0,300,HIGH
2000.0,8700,18,1,56,540.0,1.0,850,LOW
2416.6666666666665,6300,8,1,35,265.8333333333333,0.99,844,LOW
1166.6666666666667,5200,12,0,24,630.0000000000001,0.26,443,HIGH
1833.3333333333335,8200,14,0,39,916.6666666666667,0.0,300,HIGH
666.6666666666667,3200,10,1,44,146.66666666666669,1.0,850,LOW
500.0,1700,2,0,55,210.0,0.01,305,HIGH
583.3333333333334,2700,16,1,36,140.0,1.0,850,LOW
7000.0,25900,16,1,21,2449.9999999999995,0.95,822,LOW
5916.666666666666,21500,16,1,25,1419.9999999999998,0.99,844,LOW
4500.0,15700,18,1,61,1215.0000000000002,1.0,850,LOW
3083.333333333333,7300,18,0,28,1294.9999999999998,0.1,355,HIGH
4333.333333333333,15200,16,1,34,433.33333333333337,1.0,850,LOW
166.66666666666669,700,10,1,51,28.33333333333334,0.93,811,LOW
416.66666666666663,1000,20,0,63,225.0,0.12,366,HIGH
1500.0,5700,4,1,54,435.0,0.97,833,LOW
7666.666666666666,29400,8,0,57,3603.333333333333,0.0,300,HIGH
750.0,3300,10,1,36,157.5,0.99,844,LOW
6250.0,28300,12,0,52,3750.0,0.0,300,HIGH
2500.0,11800,6,0,44,1450.0,0.02,311,HIGH
5916.666666666666,18900,12,0,26,2780.833333333333,0.04,322,HIGH
2916.666666666667,7200,2,1,42,554.1666666666667,0.97,833,LOW
4083.333333333333,18800,16,0,28,2449.9999999999995,0.0,300,HIGH
3416.666666666667,8400,20,0,37,1571.666666666667,0.03,316,HIGH
666.6666666666667,2100,6,0,28,393.33333333333337,0.05,327,HIGH
1416.6666666666665,4600,12,1,25,240.83333333333331,0.98,839,LOW
